criteria_name,major_code,criteria
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,10010121300001A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 0, ""weight"": 10}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":51, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,10010121300501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":51, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,10010121300599A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 50}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":51, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,10010121301101A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 0, ""weight"": 10}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":48, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,10010121302101A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 0, ""weight"": 10}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":51, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,10010121302501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 0, ""weight"": 10}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":48, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,10010121302701A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 40}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":48, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,10010121302801A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 0, ""weight"": 10}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":51, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี,10010121303001A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 0, ""weight"": 10}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":51, ""weight"": 0}}'"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,10010121303501A,"'{""ความถนัดทั่วไป (TGAT)"": {""min_score"": 0, ""weight"": 20}, ""ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)"": {""min_score"": 0, ""weight"": 30}, ""A-Level คณิตศาสตร์ประยุกต์ 1 (พื้นฐาน+เพิ่มเติม)"": {""min_score"": 0, ""weight"": 20}, ""A-Level ฟิสิกส์"": {""min_score"": 0, ""weight"": 20}, ""A-Level เคมี"": {""min_score"": 0, ""weight"": 10}, ""GPAX"": {""min_score"": 2, ""weight"": 0}, ""คะแนนรวม"": {""min_score"":51, ""weight"": 0}}'"
สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,10010122904301A,"'{""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 0, ""weight"": 25}, ""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาสารสนเทศศึกษา,10010122904301A,"'{""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 0, ""weight"": 25}, ""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาฝรั่งเศส (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาฝรั่งเศส"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาคณิตศาสตร์ประยุกต์ 2,10010122904301A,"'{""A-Level คณิตศาสตร์ประยุกต์ 2 (พื้นฐาน)"": {""min_score"": 0, ""weight"": 25}, ""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเยอรมัน (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาเยอรมัน"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาญี่ปุ่น (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาญี่ปุ่น"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเกาหลี (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาเกาหลี"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาจีน (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาจีน"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาบาลี (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาบาลี"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาสเปน (รับร่วมกัน),10010122904301A,"'{""A-Level สังคมศาสตร์"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาไทย"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาอังกฤษ"": {""min_score"": 0, ""weight"": 25}, ""A-Level ภาษาสเปน"": {""min_score"": 0, ""weight"": 25}, ""GPAX"": {""min_score"": 2.75, ""weight"": 0}}'"
